Order Date,Product,Category,Sales,Quantity,Region,Customer ID,Profit
2023-05-11,Graphics Card,Technology,602.55,10,North,CUST0047,128.23
2023-11-11,Monitor,Technology,2322.91,1,North,CUST0330,1038.96
2021-05-02,RAM,Components,3311.49,16,South,CUST0719,667.65
2022-04-12,Router,Office,1806.87,11,North,CUST0753,770.78
2021-11-27,Tablet,Technology,1002.96,4,West,CUST0003,150.6
2021-03-29,Tablet,Technology,4103.87,3,East,CUST0776,1154.73
2023-05-22,Graphics Card,Technology,1847.36,13,West,CUST0409,293.67
2021-05-11,Router,Office,1011.89,15,West,CUST0036,428.77
2023-02-09,Graphics Card,Technology,1857.17,10,Central,CUST0811,348.71
2021-12-10,Graphics Card,Technology,1112.04,6,South,CUST0243,391.36
2023-03-17,Monitor,Technology,2621.27,11,South,CUST0750,889.57
2022-01-21,Mouse,Accessories,3358.03,1,West,CUST0434,1288.55
2023-08-14,Charger,Accessories,4007.81,4,South,CUST0831,1499.17
2021-10-04,Graphics Card,Technology,1176.43,10,Central,CUST0981,187.92
2022-04-05,Graphics Card,Technology,876.42,15,East,CUST0418,233.58
2021-01-22,Router,Office,147.04,1,North,CUST0219,36.28
2021-09-10,Headphones,Accessories,1179.03,15,South,CUST0201,520.97
2023-01-18,RAM,Components,168.33,3,West,CUST0394,64.38
2023-05-07,USB Cable,Accessories,1760.1,1,South,CUST0539,637.84
2022-04-20,Tablet,Technology,771.18,6,West,CUST0601,217.97
2023-12-19,Phone,Technology,2920.48,19,North,CUST0269,1218.69
2022-05-26,RAM,Components,1949.45,4,South,CUST0819,302.25
2022-12-01,Mouse,Accessories,513.25,12,North,CUST0836,112.16
2023-09-03,Mouse,Accessories,2029.34,2,West,CUST0124,727.53
2021-07-09,USB Cable,Accessories,1086.27,17,Central,CUST0400,328.61
2023-08-16,Headphones,Accessories,3416.88,6,Central,CUST0908,1059.72
2022-11-18,Keyboard,Accessories,1853.96,12,East,CUST0281,509.66
2023-08-16,Headphones,Accessories,777.8,15,West,CUST0767,155.51
2022-07-17,Phone,Technology,1780.53,17,West,CUST0433,355.87
2023-04-12,Graphics Card,Technology,1160.67,1,West,CUST0400,276.64
2022-10-09,USB Cable,Accessories,3989.11,14,Central,CUST0871,1158.81
2021-01-21,RAM,Components,4917.67,2,Central,CUST0002,1953.48
2023-04-21,Phone,Technology,176.18,4,Central,CUST0329,50.04
2021-06-16,Keyboard,Accessories,3465.6,2,South,CUST0635,1453.26
2022-01-23,Motherboard,Technology,1356.59,14,South,CUST0748,252.54
2022-08-24,Headphones,Accessories,378.72,18,Central,CUST0383,87.69
2021-11-12,Speaker,Accessories,121.04,8,North,CUST0589,20.72
2021-01-14,Speaker,Accessories,4411.0,1,South,CUST0078,1336.57
2021-08-30,Graphics Card,Technology,1800.35,16,South,CUST0332,318.68
2023-02-16,RAM,Components,4972.99,7,South,CUST0163,1933.03
2022-07-19,USB Cable,Accessories,2239.77,6,South,CUST0150,362.68
2023-06-17,Keyboard,Accessories,978.61,19,East,CUST0981,286.36
2021-04-02,RAM,Components,3896.86,10,South,CUST0560,1076.25
2023-08-14,RAM,Components,4636.14,6,North,CUST0626,976.69
2022-05-24,RAM,Components,4087.32,10,East,CUST0505,1332.7
2023-02-15,Hard Drive,Storage,3738.74,19,South,CUST0576,993.87
2021-02-04,Mouse,Accessories,1706.76,3,West,CUST0963,357.38
2021-07-25,Phone,Technology,369.23,3,East,CUST0150,146.94
2023-10-23,Hard Drive,Storage,1046.43,6,South,CUST0585,364.38
2023-10-19,RAM,Components,2261.71,17,North,CUST0047,347.5
2022-07-20,USB Cable,Accessories,4783.19,18,Central,CUST0808,1437.63
2022-12-04,SSD,Storage,3628.13,10,South,CUST0362,839.52
2022-02-06,Charger,Accessories,4150.0,6,West,CUST0693,1761.81
2022-12-31,Printer,Office,1422.6,13,North,CUST0374,523.05
2021-06-11,Motherboard,Technology,3434.92,6,East,CUST0771,1145.49
2021-07-21,Hard Drive,Storage,4319.07,12,North,CUST0095,763.25
2023-09-23,Monitor,Technology,2423.09,14,South,CUST0101,1039.98
2021-09-27,Webcam,Accessories,2177.96,17,West,CUST0390,420.91
2023-03-27,Webcam,Accessories,3611.05,8,North,CUST0910,1029.96
2022-04-01,RAM,Components,2821.56,5,North,CUST0595,999.71
2023-10-14,Router,Office,4966.2,4,Central,CUST0954,1482.07
2021-10-23,Graphics Card,Technology,2154.26,6,Central,CUST0082,893.46
2022-12-21,Laptop,Technology,920.92,11,South,CUST0633,368.92
2021-12-04,Motherboard,Technology,2386.08,5,East,CUST0903,454.81
2023-05-29,Router,Office,1214.26,14,East,CUST0996,407.13
2023-12-13,Monitor,Technology,2828.21,10,West,CUST0413,468.52
2023-03-03,Laptop,Technology,672.7,11,South,CUST0003,246.32
2021-08-05,Monitor,Technology,4752.38,3,East,CUST0013,1762.21
2023-02-03,Monitor,Technology,4306.12,8,North,CUST0164,1090.94
2021-07-07,Monitor,Technology,820.05,5,South,CUST0617,316.52
2022-01-15,Graphics Card,Technology,903.34,10,North,CUST0345,312.38
2022-05-08,Printer,Office,2586.57,8,West,CUST0860,779.11
2023-12-01,USB Cable,Accessories,3875.76,9,South,CUST0166,1110.72
2021-01-15,Monitor,Technology,1134.44,15,West,CUST0075,207.31
2021-03-06,Keyboard,Accessories,351.81,1,Central,CUST0060,108.83
2022-06-05,USB Cable,Accessories,2750.39,5,West,CUST0745,541.36
2022-10-10,RAM,Components,3473.41,15,Central,CUST0382,1204.61
2023-12-23,Keyboard,Accessories,1259.61,4,South,CUST0073,413.67
2022-08-16,Webcam,Accessories,3711.85,19,North,CUST0790,880.3
2022-01-27,RAM,Components,4755.69,10,North,CUST0661,1065.75
2022-02-23,Laptop,Technology,728.52,2,North,CUST0123,213.32
2021-10-16,Mouse,Accessories,2579.59,5,West,CUST0467,783.54
2022-01-14,Speaker,Accessories,331.37,18,South,CUST0289,129.03
2021-08-19,RAM,Components,1072.97,6,South,CUST0516,258.79
2023-10-15,Keyboard,Accessories,494.61,10,Central,CUST0481,134.05
2021-02-10,RAM,Components,2049.83,15,South,CUST0237,518.58
2023-11-18,Headphones,Accessories,4113.12,9,North,CUST0720,1103.28
2021-05-15,Laptop,Technology,2906.8,13,South,CUST0172,930.55
2021-07-20,Printer,Office,1151.79,18,Central,CUST0385,365.4
2023-02-19,Motherboard,Technology,248.55,7,South,CUST0446,64.23
2023-07-19,USB Cable,Accessories,2789.32,2,South,CUST0207,922.51
2023-11-23,SSD,Storage,707.34,16,North,CUST0150,236.83
2023-12-08,Tablet,Technology,1746.53,2,South,CUST0736,538.05
2022-05-18,Router,Office,2575.45,4,West,CUST0571,735.83
2022-02-11,Printer,Office,4523.48,2,Central,CUST0805,784.29
2023-03-16,USB Cable,Accessories,455.03,17,Central,CUST0151,142.14
2021-04-09,RAM,Components,3359.61,6,Central,CUST0673,1222.26
2022-11-15,Tablet,Technology,119.7,10,South,CUST0113,25.69
2022-12-27,SSD,Storage,3168.05,14,West,CUST0232,1214.47
2023-08-19,Graphics Card,Technology,2780.09,15,Central,CUST0918,906.11
2022-09-05,Hard Drive,Storage,4068.74,12,East,CUST0960,900.23
2022-10-05,Headphones,Accessories,2681.73,19,North,CUST0488,533.36
2023-10-26,RAM,Components,1795.45,11,East,CUST0383,401.5
2022-05-18,Webcam,Accessories,1251.62,1,East,CUST0958,472.77
2023-02-06,Monitor,Technology,471.99,8,Central,CUST0374,106.27
2022-02-02,SSD,Storage,2696.33,6,East,CUST0950,957.11
2023-05-21,Keyboard,Accessories,4447.19,12,East,CUST0698,1395.28
2023-03-06,USB Cable,Accessories,2597.99,16,West,CUST0751,815.91
2022-01-28,Mouse,Accessories,3708.56,18,North,CUST0247,1504.86
2021-07-26,Keyboard,Accessories,1527.25,12,South,CUST0140,629.87
2023-11-05,Graphics Card,Technology,2268.25,2,Central,CUST0624,705.59
2023-06-11,Headphones,Accessories,1656.79,7,Central,CUST0402,280.97
2023-05-14,Mouse,Accessories,590.87,9,East,CUST0992,117.2
2023-01-13,Phone,Technology,2114.09,18,South,CUST0707,918.78
2022-07-18,Speaker,Accessories,3833.22,9,South,CUST0956,729.87
2023-10-18,Headphones,Accessories,2005.13,8,South,CUST0125,803.27
2021-04-06,Webcam,Accessories,3268.39,1,Central,CUST0356,1020.14
2022-04-30,Keyboard,Accessories,3805.15,5,Central,CUST0239,700.92
2021-08-19,Motherboard,Technology,1647.54,16,West,CUST0513,701.61
2023-01-19,RAM,Components,3997.7,14,Central,CUST0633,1712.74
2022-06-25,Hard Drive,Storage,1727.68,13,Central,CUST0601,578.1
2023-11-26,Charger,Accessories,1317.73,11,West,CUST0532,351.38
2022-06-09,Graphics Card,Technology,1151.11,13,Central,CUST0273,382.46
2022-08-01,Keyboard,Accessories,1039.53,15,East,CUST0177,351.7
2022-11-13,Hard Drive,Storage,3698.76,16,East,CUST0406,1245.16
2022-07-11,Mouse,Accessories,4443.17,13,West,CUST0114,1644.07
2023-10-10,SSD,Storage,1191.71,8,West,CUST0929,202.76
2022-10-08,Headphones,Accessories,471.94,18,East,CUST0794,85.31
2023-03-07,Hard Drive,Storage,1603.15,19,South,CUST0027,376.47
2023-11-18,Motherboard,Technology,3306.34,15,Central,CUST0700,842.81
2021-07-09,Laptop,Technology,1874.17,10,North,CUST0418,639.86
2022-09-25,Mouse,Accessories,2768.42,4,North,CUST0599,558.01
2022-09-20,Tablet,Technology,3734.31,6,West,CUST0592,1166.26
2023-08-31,Keyboard,Accessories,2071.97,8,North,CUST0462,426.0
2022-12-11,Charger,Accessories,4998.49,7,South,CUST0180,1282.84
2022-10-11,Speaker,Accessories,1524.85,12,North,CUST0567,656.68
2021-11-14,USB Cable,Accessories,4892.33,18,East,CUST0247,2048.47
2022-11-15,RAM,Components,1055.0,18,West,CUST0500,459.91
2022-10-26,Motherboard,Technology,599.11,19,North,CUST0317,196.16
2022-03-18,Graphics Card,Technology,3766.61,4,Central,CUST0434,1131.45
2022-07-18,Graphics Card,Technology,3526.43,1,West,CUST0233,1427.06
2023-08-10,Speaker,Accessories,4065.29,5,South,CUST0959,706.95
2022-11-30,Router,Office,1750.77,7,East,CUST0960,776.53
2021-04-23,RAM,Components,4657.5,11,North,CUST0782,1344.67
2021-01-02,Phone,Technology,641.43,11,East,CUST0894,226.26
2022-10-04,Graphics Card,Technology,199.87,10,South,CUST0621,73.66
2021-08-08,Router,Office,1537.79,7,North,CUST0986,520.78
2023-05-05,USB Cable,Accessories,3996.76,16,West,CUST0750,1668.48
2022-01-20,Charger,Accessories,3381.26,1,West,CUST0890,799.49
2023-12-13,SSD,Storage,2209.23,1,Central,CUST0819,684.18
2022-12-31,Headphones,Accessories,1318.46,12,South,CUST0369,367.97
2021-09-04,USB Cable,Accessories,343.4,16,North,CUST0667,124.05
2023-04-16,Charger,Accessories,1720.65,5,East,CUST0168,462.05
2021-07-22,Charger,Accessories,2327.1,14,East,CUST0068,972.4
2021-05-03,Phone,Technology,3450.77,18,North,CUST0777,1025.32
2022-02-05,Keyboard,Accessories,3247.56,9,South,CUST0952,1009.35
2023-02-06,Phone,Technology,4739.36,2,South,CUST0987,1412.41
2021-10-21,USB Cable,Accessories,546.96,12,East,CUST0747,184.21
2021-10-07,Tablet,Technology,1714.88,10,North,CUST0551,519.82
2023-06-03,Speaker,Accessories,2433.81,2,North,CUST0655,1049.52
2021-07-17,RAM,Components,3369.94,15,East,CUST0345,638.05
2023-09-09,Laptop,Technology,2502.49,4,North,CUST0530,385.45
2023-01-22,Speaker,Accessories,4568.15,19,North,CUST0052,1400.3
2021-05-24,Printer,Office,3062.93,4,West,CUST0445,1162.04
2022-09-01,Hard Drive,Storage,246.34,9,West,CUST0734,84.85
2021-07-06,Printer,Office,612.6,13,Central,CUST0805,268.82
2022-04-09,Headphones,Accessories,3779.8,10,Central,CUST0592,773.66
2022-10-22,RAM,Components,3593.15,14,South,CUST0693,1287.05
2023-02-03,Tablet,Technology,809.81,3,West,CUST0140,319.68
2023-08-13,Monitor,Technology,341.6,3,West,CUST0721,144.71
2022-02-07,Headphones,Accessories,2914.65,16,West,CUST0409,899.36
2021-05-27,Charger,Accessories,3196.91,9,West,CUST0335,827.78
2023-05-14,Motherboard,Technology,719.73,14,South,CUST0281,314.24
2022-05-04,Keyboard,Accessories,2394.42,16,East,CUST0405,927.7
2023-07-18,Router,Office,1563.87,9,South,CUST0122,455.48
2022-07-05,Charger,Accessories,4659.96,5,East,CUST0723,1609.32
2021-12-04,Webcam,Accessories,1135.04,13,Central,CUST0856,265.11
2023-05-22,SSD,Storage,3679.64,15,West,CUST0647,1230.67
2022-10-03,Laptop,Technology,2614.76,4,East,CUST0460,815.83
2022-04-18,Tablet,Technology,107.03,14,South,CUST0689,17.31
2021-05-31,Motherboard,Technology,2609.14,7,East,CUST0039,1069.03
2021-09-20,Motherboard,Technology,542.39,4,North,CUST0075,161.12
2021-05-24,Phone,Technology,3312.36,17,Central,CUST0865,973.57
2021-12-12,Keyboard,Accessories,2849.34,9,Central,CUST0561,669.68
2022-09-16,Laptop,Technology,101.61,4,West,CUST0217,21.23
2023-10-14,Router,Office,1063.23,3,West,CUST0246,252.42
2023-05-31,Router,Office,3892.31,19,South,CUST0743,1342.82
2021-01-02,Keyboard,Accessories,1415.07,9,East,CUST0418,253.71
2023-06-16,Motherboard,Technology,2521.45,8,North,CUST0767,630.01
2021-09-11,SSD,Storage,1594.39,7,Central,CUST0203,707.31
2022-03-29,Webcam,Accessories,4611.56,7,East,CUST0656,1067.39
2023-11-27,Graphics Card,Technology,2706.06,4,North,CUST0864,1190.66
2023-10-12,Charger,Accessories,3496.06,19,East,CUST0911,634.34
2021-01-09,Charger,Accessories,463.21,12,West,CUST0808,179.82
2023-03-27,Laptop,Technology,249.66,6,Central,CUST0975,70.38
2021-07-27,Monitor,Technology,1333.18,12,North,CUST0519,277.89
2022-02-08,Webcam,Accessories,1580.21,4,West,CUST0613,610.32
2021-06-01,Laptop,Technology,3454.02,2,South,CUST0296,525.34
2021-02-23,SSD,Storage,2867.2,15,South,CUST0450,728.68
2022-09-20,Motherboard,Technology,1904.17,6,West,CUST0838,631.15
2022-08-10,Laptop,Technology,3287.88,18,North,CUST0228,721.0
2021-04-14,Speaker,Accessories,859.65,5,North,CUST0103,214.71
2021-09-11,Phone,Technology,364.27,4,Central,CUST0998,64.63
2022-05-25,Laptop,Technology,4279.8,11,West,CUST0092,1737.44
2021-04-09,Charger,Accessories,2841.53,11,South,CUST0790,786.11
2021-06-02,RAM,Components,3263.02,9,West,CUST0357,631.68
2023-07-03,Router,Office,1570.85,3,East,CUST0699,329.45
2023-05-28,Motherboard,Technology,1891.18,11,North,CUST0901,439.79
